Moved over to Sprint Plan,You can have other columns as well,RELEASE,STORY_ID,STORY_TITLE,STORY,"PRIORITY (0 wont, 1 could, 2 should 3 must)",STORY_POINTS,ACCEPT,NOTES (optional assumption),,,,,
,,,4600,Job Post Bookmarking,"As a job seeker, I want to save or bookmark job postings that interest me so that I can easily return to them later and make sure I don't forget to apply.",2,3,"Given a job seeker viewing an interesting job posting, when they click the 'Save' or 'Bookmark' button, then the job should be added to their saved list and the button should indicate the saved state.
Given a job seeker who has bookmarked several postings, when they navigate to their 'Saved Jobs' section, then they should see all saved postings and be able to click any to view details.
Given a job seeker viewing saved jobs or a previously saved posting, when they click 'Unsave' or 'Remove Bookmark', then the job should be removed from their saved list and the button state should revert.",,,,,,
,,,4700,Job Listing Draft Saving,"As an employer, I want to save job postings as drafts so that I can complete and publish them later.",2,3,"Given an employer is in the process of creating or editing a job listing, when they are on any step of the creation/editing form, then a 'Save as Draft' button is persistently visible.
Given an employer clicks 'Save as Draft', when they navigate away and later return to their 'Job Listings' management page, then the partially completed listing appears in a 'Drafts' tab or section.
Given an employer clicks on a saved draft listing, when the editing form loads, then all information previously entered by the employer is pre-filled in the respective fields.",,,,,,
,,,4800,Application Withdrawal,"As a job seeker, I want to withdraw submitted applications so that I maintain professionalism when my circumstances change.",2,5,"Given a job seeker with an application status of 'Applied' or 'Under Review', when they navigate to the application details, click 'Withdraw Application', and confirm, then the status should update to 'Withdrawn', a notification should be sent to the employer, and certain actions should become unavailable.
Given a job seeker with an application status of 'Rejected', 'Offer Declined', or 'Offer Accepted', when they view the application details, then the 'Withdraw Application' option should not be available or should be disabled.",,,,,,
,,,4900,Automated Data Scraping Prevention,"As a system administrator, I want to automate the identification of patterns indicative of systematic data scraping (e.g., high request rates from single IPs, unusual user agent strings, automated clicking patterns), with configurable thresholds and countermeasures, so that I can protect platform data proactively and without manual intervention.",2,13,"Given system monitoring tools are analysing web server logs and application traffic, when activity from a specific IP address or user session exceeds predefined thresholds for request frequency, page view patterns (e.g., rapidly accessing many job postings or profiles), or uses suspicious user agents, then this activity is flagged as potentially indicative of scraping.
Given an activity pattern is flagged as high-confidence scraping, when the configured rules are met, then an automated defensive action is triggered, such as implementing rate limiting for the source IP, presenting a CAPTCHA challenge, issuing a temporary block, or sending a high-priority alert to administrators.
Given a system administrator reviews the security dashboard or logs, when they filter for scraping-related events, then they can see details of flagged activities (IP, time, patterns detected) and the automated responses taken by the system, allowing for review and adjustment of the detection rules.",,,,,,
,,,5000,User Management Console,"As a system administrator, I want a comprehensive user management console so that I can support users effectively.",2,8,"Given a system administrator logs in and accesses the ""User Management Console"", when the console loads, then it provides a unified interface with search and filter capabilities to find user accounts across all types (e.g., Job Seeker, Employer Contact, Internal Employee, Moderator).
Given a system administrator selects a specific user account from the console, when the user's profile view loads, then the administrator can see key account details (e.g., name, email, registration date, last login, account status, user type/role) and have access to relevant support actions based on their permissions (e.g., View Activity Log, Reset Password, Verify Email, Manage Permissions, View Associated Data like applications or job postings).
Given troubleshooting requires viewing the platform as a specific user (and the admin has the necessary permissions), when the administrator initiates an ""Impersonate User"" function from the console, then they can navigate the platform with the user's view and permissions (without accessing credentials), and all actions taken during impersonation are strictly logged for audit purposes.",,,,,,
,,,5100,Revenue Analytics Dashboard,"As an accountant, I want detailed revenue analytics so that I can forecast financial performance.",2,13,"Given an accountant accesses the ""Revenue Analytics Dashboard"", when the dashboard loads, then it displays key subscription and revenue metrics visually, such as Monthly Recurring Revenue (MRR), MRR Growth Rate, Churn Rate (customer and revenue), Customer Lifetime Value (CLTV), and Average Revenue Per Account (ARPA).
Given the accountant interacts with the dashboard, when they apply filters for date ranges, subscription plans, or customer cohorts (e.g., signup month), then all displayed metrics and charts update dynamically to reflect the filtered data set.
Given the accountant reviews the historical trends presented on the dashboard (e.g., MRR trend line, churn rate over time), when they analyse the data, then the dashboard provides tools or visualisations that support basic forecasting, such as projecting future MRR based on current growth and churn rates.",,,,,,
,,,5200,Identity Verification Badge,"As a job seeker, I want to verify my identity on the platform using secure methods (government-issued ID, banking details, or third-party verification services) that comply with relevant data protection regulations, so that I can earn a verified status and increase my credibility with potential employers.",1,8,"Given a job seeker is logged in, when they navigate to the 'Assessments' or 'Skills Verification' section of their profile or the platform, then they should be presented with a list of available skill assessments or certification tests, categorised or searchable by skill/industry.",,,,,,
,,,5300,Verified Profile Badge,"As a job seeker, I want a verification badge displayed on my profile after completing identity verification so that employers will trust my profile and applications more.",1,2,"Given a job seeker has selected and started a skill validation test, when they complete and submit the test, then they should receive their results (e.g., score, pass/fail), and have the option to display a corresponding badge or validation marker on their profile for successfully passed tests.",,,,,,
,,,5400,CV Creation Tool,"As a job seeker, I want to easily create a CV using an interactive form with predefined templates so that I can quickly generate a professional CV and start applying for jobs sooner.",1,8,"Given a job seeker is logged in, when they navigate to the 'Account Settings' or 'Verification' section and successfully complete the identity verification process using the provided secure methods (e.g., document upload, liveness check), then their account status should be updated to 'Verified', and this status should be recorded internally.",,,,,,
,,,5500,Application Templates,"As a job seeker, I want to create reusable application templates so that I can quickly customize applications for similar roles.",1,5,"Given a job seeker managing application materials, when they create a new template with a name, CV, and cover letter, then the template should be saved and listed in their available templates.
Given a job seeker applying for a job with a template created, when they reach the document attachment stage and select their template, then the CV and cover letter from the template should populate the application form.
Given a job seeker who has applied a template to an application, when they customise the cover letter before submitting, then the submitted application should contain the customised version while the original template remains unchanged.",,,,,,
,,,5600,Secure Document Storage,"As a job seeker, I want secure storage for my personal documents (certificates, recommendation letters, transcripts) so that I can quickly access them during applications.",1,8,"Given a job seeker is logged in and interested in changing careers, when they navigate to the 'Career Advice', 'Resources', or 'Guidance' section of the platform, then they should find dedicated content (articles, guides, webinars, tools) providing insights into different industries, required skills for transition, and advice on navigating a career change.",,,,,,
,,,5700,Application Competition Insights,"As a job seeker, I want to see how many people have applied for a given job, when most applications were submitted, and trend data relative to similar positions, so that I can gauge the level of competition and assess my chances relative to other candidates.",1,3,"Given a job seeker is logged in, when they view the details page of a specific job posting, then they should see an indicator displaying the approximate number or range of applicants who have applied for this job (e.g., ""50-100 applicants"", ""200+ applied"").",,,,,,
,,,5800,Search History,"As a job seeker, I want to view and revisit my search history so that I can efficiently continue previous job searches.",1,3,"Given a job seeker who has performed multiple searches, when they check their search history, then they should see a list of recent searches including keywords and filters used.
Given a job seeker viewing their search history, when they click on a past search entry, then a new search should execute with the same parameters and display the results.
Given a job seeker viewing their search history, when they click 'Clear History' and confirm, then their search history list should become empty.",,,,,,
,,,5900,AI Job Recommendations,"As a job seeker, I want to receive AI-powered job recommendations based on my profile, activity, and preferences so that I can discover relevant opportunities I might have missed.",1,20,"Given a job seeker with a complete profile and activity history, when they view their dashboard or recommendations section, then they should see AI-recommended job postings relevant to their profile and activity.
Given a job seeker receiving AI recommendations, when they review these recommendations, then a significant portion should align with their skills, experience level, location preferences, and recent search terms.
Given a job seeker viewing their recommended jobs, when they provide feedback on several recommendations, then future recommendations should gradually adjust based on this feedback.",,,,,,
,,,6000,Salary Benchmarking Tool,"As a job seeker, I want to benchmark salary data for roles I'm interested in so that I can negotiate compensation effectively.",1,13,"Given a job seeker using the Salary Benchmarking tool, when they enter a job title and location and execute the search, then they should see estimated salary ranges for that position in that location, possibly sorted by experience level.
Given a job seeker using the Salary Benchmarking tool, when they enter key skills and a location and execute the search, then they should see estimated salary ranges for roles requiring those skills in that location.
Given a job seeker searching for salary data on a very niche position or location, when they execute the benchmark search, then they should see a message indicating insufficient data for a reliable benchmark.",,,,,,
,,,6100,Job Seeker Analytics Dashboard,"As a job seeker, I want a personal analytics dashboard showing my application success rates, profile views, and skill competitiveness so that I can optimize my job search strategy.",1,13,"Given a job seeker is logged in, has indicated interest in a career change to a target industry, and has listed relevant transferable skills on their profile, when they view their personalised job recommendations or perform a job search targeting the new industry, then the system should suggest job roles in their target industry that match their listed transferable skills.",,,,,,
,,,6200,Skill Validation Tests,"As a job seeker, I want to take industry-standard skill assessments or certification tests on the platform with clear validity periods and renewal options, so that I can validate my abilities and showcase verified results on my profile to prove my skills to employers.",1,13,"Given a job seeker is logged in, when they view the details page of a specific job posting, then they should see a clear link or summary rating that directs them to the full employer reviews and ratings page.",,,,,,
,,,6300,Interview Preparation Resources,"As a job seeker, I want access to company-specific interview preparation resources so that I can present myself effectively.",1,5,"Given a job seeker viewing a company profile with interview resources, when they look for the 'Interview Preparation' section, then they should find resources like articles, videos, or interview process descriptions.
Given a job seeker with an 'Interview Scheduled' application status, when they view the application details, then they should see access to relevant interview preparation resources if provided by the company.
Given a job seeker viewing a company profile without interview resources, when they look for such content, then they should either not find a dedicated section or see a message indicating no resources were provided.",,,,,,
,,,6400,Application Feedback Request,"As a job seeker, I want to request feedback on unsuccessful applications so that I can improve future applications.",1,5,"Given a job seeker with a 'Rejected' application where feedback requests are enabled, when they view the application details, then they should see a 'Request Feedback' option.
Given a job seeker viewing a rejected application with feedback options, when they click 'Request Feedback' and confirm, then a request should be sent to the employer and the application status might update to indicate this.
Given a job seeker with an application status other than 'Rejected' or where feedback is disabled, when they view the application details, then the 'Request Feedback' option should not be visible or should be disabled.
Given a job seeker who requested feedback and received it, when the employer submits feedback, then the job seeker should receive a notification and be able to view the feedback within the platform.",,,,,,
,,,6500,Skill Gap Analysis,"As a job seeker, I want to identify skill gaps between my profile and desired roles so that I can target my professional development effectively.",1,8,"Given a job seeker with skills listed in their profile viewing a job with specified skill requirements, when they click 'Analyse Skill Gap', then they should see a comparison showing matching skills and missing skills required for the job.
Given a job seeker with skills listed and a saved search or defined role type, when they use a skill gap analysis tool for that role, then they should see common skill requirements compared to their profile with highlighted gaps.
Given a job seeker viewing a job posting without structured skill listings, when they attempt to use the 'Analyse Skill Gap' feature, then the feature should be disabled or show a message indicating skill requirements are unavailable.",,,,,,
,,,6600,Learning Resources Integration,"As a job seeker, I want recommended learning resources based on my skill gaps so that I can enhance my employability.",1,8,"Given a job seeker who has performed a skill gap analysis showing specific gaps, when they view the analysis results, then they should see suggested learning resources specifically related to those identified skill gaps.
Given a job seeker browsing for learning resources, when they navigate to the 'Learning' or 'Skill Development' section, then they should find a curated list or searchable database of resources categorised by skill or industry.
Given a job seeker clicking on a third-party learning resource link, when they select the resource, then they should be redirected to the relevant page on the external provider's website.",,,,,,
,,,6700,Career Break Entry,"As a job seeker with a career gap, I want to include a ""career break"" entry on my profile or CV (with dates and a brief description of activities such as travel, caregiving, or upskilling) so that I can address gaps in my work history and highlight any skills or experiences gained during that time.",1,3,"Given a job seeker is logged in, when they access the CV Creation Tool and choose to create a new CV, then they should be presented with a choice of predefined professional templates and an interactive form prompting them to enter sections like contact details, work experience, education, skills, etc.",,,,,,
,,,6800,Return-to-Work Programs,"As a job seeker returning to the workforce after a long break, I want to find return-to-work programmes or re-entry internships on the platform so that I can rebuild my professional experience and confidence through a structured programme.",1,5,"Given a job seeker has filled in the necessary information in the CV creation form, when they select the option to 'Generate' or 'Download' the CV, then a formatted CV document (e.g., PDF) based on their selected template and entered data should be generated and made available for download or saving to their profile.",,,,,,
,,,6900,Career Transition Jobs,"As a job seeker changing careers, I want to receive job recommendations in my target industry based on my transferable skills so that I can discover suitable roles even without direct experience in that field.",1,8,"Given a job seeker is logged in and has provided their industry preferences and location details in their profile, when they navigate to the 'Events', 'Networking', or 'Career Fairs' section of the platform, then they should see a list of upcoming events relevant to their field and location, including details like event name, date, time, location (physical or virtual), and a brief description.",,,,,,
,,,7000,Industry Transition Resources,"As a job seeker exploring a new industry, I want access to career guidance resources (such as articles, webinars, or mentor connections) through the platform so that I can gain insights about the new field and prepare for a successful transition.",1,5,"Given a job seeker is logged in, when they are editing the 'Work Experience' section of their profile or using the CV Creation Tool (User Story 900), then they should have an option to add an entry specifically designated as a 'Career Break', allowing them to specify the date range and optionally add a description or reason for the gap.",,,,,,
,,,7100,User Onboarding Tutorial,"As a job seeker, I want an interactive onboarding guide so that I can maximize platform benefits quickly.",1,5,"Given a new job seeker logging in for the first time, when they reach the main dashboard, then an onboarding tutorial or guided tour should automatically start or be prominently offered.
Given a job seeker in an active tutorial, when they follow the tutorial steps, then the guide should highlight key platform areas and features with explanations of their purpose.
Given a job seeker in an active tutorial, when they click 'Skip Tutorial' or 'Exit', then the tutorial should close and they should be able to freely interact with the platform.
Given a job seeker who skipped the tutorial or wants a refresher, when they check the 'Help' or 'Settings' section, then they should find an option to restart or view the tutorial again.",,,,,,
,,,7200,Contract Signing Platform,"As a job seeker, I want to review and sign employment contracts directly on the platform, with compliance to relevant eSignature laws, so that I can finalise job agreements in a secure manner and ensure all terms are clear and legally binding.",1,13,"Given a job seeker who has received a job offer with an uploaded contract, when they check their application tracker or notifications, then they should see that a contract is ready for review and be able to securely view it.
Given a job seeker who has reviewed a contract and agrees to its terms, when they click 'Sign Contract' and complete the signature process, then their signature should be applied, the application status should update, and the employer should be notified.
Given a job seeker who has signed a contract on the platform, when they view the completed application or Documents section, then they should have the option to download a copy of the fully signed contract.
Given a job seeker who has reviewed a contract and does not agree to its terms, when they look for response options, then they should find a 'Decline Contract' option separate from signing, that updates their application status accordingly when clicked.",,,,,,"The post condition, what happens after "
,,,7300,Employer Reviews and Ratings,"As a job seeker, I want to read reviews and ratings of employers written by employees so that I can assess the company's work culture and make an informed decision about where to apply.",1,8,"Given a job seeker is logged in, when they navigate to an employer's company profile page, then they should see a dedicated section displaying overall employer ratings (e.g., star rating) and individual reviews from current or former employees covering aspects like culture, management, etc.",,,,,,
,,,7400,Networking Event Alerts,"As a job seeker, I want to see upcoming networking events and career fairs relevant to my field or location so that I can attend and connect with recruiters and other professionals for potential opportunities.",1,5,"Given a user's account has been successfully identity verified (as per User Story 700) as a job seeker or employer, when anyone (including the user themselves or an employer) views their profile page, then a distinct and clearly visible 'Verified' badge or icon should be displayed next to their name or profile picture.",,,,,,
,,,7500,Showcasing Potential Guide,"As a job seeker with limited work experience (such as a recent graduate), I want guidance on showcasing my education, projects, or volunteer work on my profile so that I can demonstrate my potential to employers despite having little formal job experience.",1,3,"Given a job seeker is logged in and has indicated they are returning after a career break (either via profile setting or search filter), when they search for jobs or browse job listings, then the search results should include relevant 'Return-to-Work' programmes or 'Returnships', and/or they should be able to filter job listings specifically for these types of opportunities.",,,,,,
,,,7600,Language Selection,"As a job seeker, I want to use the platform in my preferred language so that I can navigate efficiently.",1,8,"Given a job seeker on a multi-language platform, when they select a different language from the options, then the platform's interface text should change to that language.
Given a job seeker who previously selected a language preference, when they log out and log back in later, then the platform interface should display in their previously selected language.
Given a job seeker using the platform in one language, when they view a job posting written in another language, then the platform UI should be in their selected language while the job description remains in its original language.",,,,,,
,,,7700,Company Branding Templates,"As an employer, I want to apply consistent company-specific templates to my job listings so that I maintain brand identity.",1,5,"Given an employer with appropriate permissions navigates to 'Company Settings' and selects 'Branding' or 'Job Templates', when they are on the configuration page, then they find fields to upload a company logo, define primary/secondary brand colours, and input standard text for job listing headers or footers.
Given an employer has saved a company branding template, when they are creating or editing a job listing, then they find a dropdown or checkbox option labelled 'Apply Company Branding Template'.
Given a job listing has the company template applied and is published, when a candidate views the live job listing page, then the page displays the uploaded company logo, uses the defined brand colours in elements like buttons or headers, and includes any standard header/footer text.",,,,,,
,,,7800,Job Posting Scheduling,"As an employer, I want to schedule job postings to go live at specific times so that I can coordinate with marketing campaigns.",1,3,"Given an employer has filled in the required details for a job listing, when they proceed to the final 'Publish' or 'Review' step, then alongside the 'Publish Now' option, they see a distinct 'Schedule for Later' option.
Given the employer selects 'Schedule for Later', when the scheduling interface appears, then they are presented with date and time selection inputs, allowing them to choose a future date and time for the listing to go live.
Given a job listing has been scheduled for a future date/time, when the system's clock reaches the scheduled date and time, then the job listing's status automatically changes from 'Scheduled' to 'Active' without further employer intervention, making it visible to candidates.",,,,,,
,,,7900,Job Listing Keyword Optimisation,"As an employer, I want to receive keyword suggestions for my job listings so that they rank higher in search results.",1,8,"Given an employer is editing the 'Job Title' or 'Job Description' field of a job listing, when they pause typing for a few seconds or click a dedicated 'Suggest Keywords' button, then a list of relevant keyword suggestions appears near the field.
Given the system displays keyword suggestions, when the employer reviews the list, then the keywords are relevant to the job content entered so far, and may include indicators of search volume or relevance.
Given keyword suggestions are displayed, when the employer clicks on one of the suggested keywords, then that keyword is automatically appended to the content of the currently focused field.",,,,,,
,,,8000,Job Listing Social Sharing,"As an employer, I want to share job listings directly to social media platforms so that I can leverage my company's social reach.",1,3,"Given an employer is viewing the details page of one of their active job listings within the platform, when they look for sharing options, then they see clickable icons representing major social media platforms.
Given an employer clicks on a social media icon, when the action is processed, then a new browser tab or pop-up window opens, directing them to the sharing interface of the selected platform, pre-populated with the job title and a unique link back to the job listing on the recruitment platform.
Given a job listing link generated by the platform's sharing feature is clicked on a social media site, when the user arrives at the recruitment platform, then they are taken directly to the detailed view of that specific job listing.",,,,,,
,,,8100,Job Listing Visibility Control,"As an employer, I want to set different visibility levels (e.g., public, internal-only, invite-only) for job listings so that I can control application access.",1,5,"Given an employer is creating or editing a job listing, when they access the settings related to publishing or access, then they find a control labelled 'Visibility' with options such as 'Public', 'Internal Only', and 'Invite Only'.
Given a job listing's visibility is set to 'Internal Only', when a user who is not authenticated as an employee of that specific company attempts to access the job listing URL or search for it, then they receive a 'Not Found' or 'Access Denied' message, or the listing does not appear in their search results.
Given a job listing's visibility is set to 'Invite Only', when the employer views the management options for that listing, then they see an option to 'Generate Invite Link' or 'Invite Candidates', allowing them to share a unique URL or send invitations directly to specific users.",,,,,,
,,,8200,Premium Job Advertisement,"As an employer, I want to purchase premium job posting plans with enhanced visibility, featured placement, highlighted listings, and extended duration, so that my listings gain higher visibility to attract top talent.",1,8,"Given an employer is in the process of publishing a job listing or managing an existing one, when they review posting options, then they see clear options to upgrade the listing to a 'Premium' or 'Featured' status, with descriptions of the benefits and the associated cost.
Given an employer selects and successfully pays for a premium upgrade for a job listing, when they or candidates view the listing in search results or job boards within the platform, then the listing is visually differentiated from standard listings.
Given a job listing has an active premium plan designed for higher visibility, when a candidate performs a search where the listing is relevant, then the premium listing appears at or near the top of the search results page, above standard, non-premium listings.",,,,,,
,,,8300,Customised Application Steps,"As an employer, I want to customise the application steps for each job posting so that I can collect specific information relevant to different roles.",1,8,"Given an employer is creating or editing a job listing, when they navigate to a dedicated 'Application Form' or 'Application Process' configuration section, then they see an interface allowing them to add, remove, reorder, and mark as required/optional various application components.
Given an employer adds a custom question to the application form for a specific job, when a candidate applies for that job, then the custom question is presented as part of the application process, and the candidate must provide an answer if marked as required.
Given an employer configures the application process to require a specific document type, when a candidate applies, then the application form includes a mandatory file upload field specifically labelled for that document.",,,,,,
,,,8400,Suspicious Account Flagging,"As an employer, I want the system to flag suspicious or unverified candidate accounts so that I can avoid engaging with fake profiles.",1,8,"Given the platform's internal monitoring system identifies a candidate account exhibiting patterns indicative of suspicious or potentially fraudulent activity, when the system flags the account, then a visual indicator appears next to the candidate's name or on their profile whenever viewed by any employer.
Given an employer views the profile or application of a candidate whose account has been flagged as suspicious, when they look at the profile details, then a clear warning message is displayed.
Given an employer is using filters to search or manage candidates, when they access the filter options, then they find a filter criterion allowing them to specifically include or exclude candidates whose accounts are currently flagged as 'Suspicious'.",,,,,,
,,,8500,Candidate Background Verification,"As an employer, I want to integrate background verification and reference checks within the portal, with clear consent mechanisms and compliance with data protection laws, so that I can verify candidate credibility efficiently.",1,13,"Given an employer has configured an integration with a supported third-party background check provider in the platform settings, when they are viewing the profile of a candidate who has reached a relevant stage, then a button or link labelled 'Initiate Background Check' is visible and active.
Given an employer initiates a background check for a candidate via the platform, when the request is sent to the integrated provider, then the candidate's status on the platform updates to indicate the check is 'In Progress', and the candidate receives communication to provide consent and necessary information.
Given the background check provider completes the check and sends the results back, when the platform receives the update, then the employer is notified, and the candidate's profile on the platform updates with the final status, potentially including a link to view the detailed report on the provider's portal.",,,,,,
,,,8600,Custom User Role Configuration,"As an employer, I want to define custom user roles so that team members have appropriate access levels.",1,8,"Given an employer with top-level administrative privileges navigates to the 'Team Management' or 'Roles & Permissions' settings area, when they view the list of available roles, then they see an option labelled 'Create Custom Role' or 'Add New Role'.
Given an administrator clicks 'Create Custom Role', when they are presented with the role configuration interface, then they see a comprehensive list of specific actions or data access permissions within the platform, each with a checkbox or toggle to enable/disable it for the new role.
Given an administrator has created and saved a custom role, when they assign this custom role to a team member, then that team member, upon logging in, can only access the specific features and perform the exact actions that were explicitly enabled for the role during configuration.",,,,,,
,,,8700,Interview Management System,"As an employer, I want to create interview guides and question banks so that the hiring process is standardized across my organization.",1,8,"Given an employer is logged in and navigates to the 'Interview Management' section, when they click on 'Create New Guide', then a form is displayed allowing them to name the guide, add sections (e.g., 'Technical Skills', 'Behavioural Fit'), and add questions either by selecting from a pre-existing question bank or creating new questions directly within the guide.
Given an employer is creating or editing an interview guide, when they add a question from the question bank, then they can search or filter the bank by category (e.g., 'Technical', 'Behavioural', 'Situational') and select relevant questions to include.
Given an employer has created an interview guide, when they associate this guide with a specific job opening, then interviewers assigned to that job opening can access and view the guide during the interview process via the platform.",,,,,,
,,,8800,Internship Posting,"As an employer, I want to post internship positions so that I can attract students and graduates seeking initial professional experience.",1,3,"Given an employer starts creating a new job posting When the employer selects the 'Job Type' or categorises the position Then 'Internship' is available as a distinct option alongside others like 'Full-time', 'Part-time', 'Contract'
Given an employer has selected 'Internship' as the job type When the employer proceeds to fill in the listing details Then specific fields relevant only to internships become visible or required
Given a candidate is searching for opportunities on the platform When the candidate uses the search filters Then they can filter specifically by 'Job Type: Internship' to easily find relevant postings",,,,,,
,,,8900,University Partnerships,"As an employer, I want to partner with universities via the platform for campus recruitment, career fairs, and guest lectures, with integration capabilities for academic systems, so that I can build relationships with academic institutions and talent pools.",1,8,"Given an employer navigates to a dedicated 'Campus Recruitment' or 'University Partnerships' section within the platform When the employer explores the features Then they find a searchable directory of universities participating on the platform And an option to send a 'Partnership Request' to a selected university
Given an employer has an active partnership with a university recorded on the platform When the employer is publishing a job posting suitable for students or recent graduates Then they see an option to specifically share or promote this listing directly to the partner university's career portal or student network
Given an employer has active university partnerships When the employer views their recruitment analytics dashboard or reports Then they can see metrics specifically tracking the number of applications and hires originating from their partner universities",,,,,,
,,,9000,Hosting Webinars,"As an employer, I want to host webinars and workshops (potentially using integrated third-party tools) for students/graduates so that I can engage potential hires and provide industry insights.",1,13,"Given an employer navigates to an 'Events', 'Webinars', or 'Campus Engagement' section When the employer chooses to create a new event Then they are presented with a form to input event details including title, description, date, time, duration, target audience, and a field for a registration link or integration with a webinar hosting platform
Given an employer publishes a webinar event on the platform When candidates browse the platform's 'Events' or 'Career Resources' section Then the employer's upcoming webinar is listed and visible And allows candidates to view details and register
Given an employer has hosted a webinar When the employer returns to the event management page after the event Then they have an option to upload related materials Which become accessible to registered attendees or publicly via the event page",,,,,,
,,,9100,Evaluating Problem-Solving Skills,"As an employer, I want to evaluate students/graduates through skills challenges and problem-solving tasks so that I can assess practical abilities beyond resumes.",1,13,"Given an employer is configuring the application or assessment stages for a job posting When the employer chooses to add an assessment Then they have the option to select from a library of predefined skills challenges Or create/upload their own custom challenge
Given a skills challenge is included as a step in the application process When a candidate reaches that stage after applying Then they are presented with the challenge instructions And an interface within the platform to complete and submit their response or solution
Given a candidate has submitted their response to a skills challenge When the hiring team reviews the candidate's application Then the submitted solution/response is accessible alongside other application materials And if applicable, an automated score or result from the challenge is displayed",,,,,,
,,,9200,Evaluating Soft-Skills,"As an employer, I want to assess students' and graduates' teamwork abilities and social responsibility sense so that I can evaluate their potential for growth and cultural fit.",1,8,"Given an employer or hiring manager is setting up an interview kit or scorecard template for a specific role within the platform When defining the evaluation criteria Then they can add specific sections or questions targeting soft skills like 'Teamwork', 'Communication', 'Problem-Solving Approach', 'Adaptability', or 'Alignment with Company Values'
Given an interviewer is conducting an interview using the platform's integrated scorecard When the interviewer is providing feedback Then they can input ratings and qualitative comments specifically for the predefined soft skills criteria based on the candidate's responses and behaviour during the interview
Given multiple interviewers have submitted their scorecards for a candidate When the hiring team reviews the overall feedback for that candidate Then they can see an aggregated view or comparison of the ratings and comments provided by different interviewers for each soft skill criterion",,,,,,
,,,9300,Freelancers Specific Jobs,"As an employer, I want to invite specific freelancers directly to apply for contract job openings so that I can engage known talent quickly.",1,5,"Given an employer is creating a job posting and selects 'Freelance' or 'Contract' as the job type When the employer proceeds to the candidate sourcing or invitation step Then an option appears to 'Search Freelancers' or 'Invite from Network' Allowing them to browse registered freelancers on the platform
Given an employer searches for freelancers and selects one or more specific freelancers from the platform's directory When the employer clicks an 'Invite to Apply' button Then each selected freelancer receives a direct notification containing an invitation And a link to the specific job posting
Given an employer is viewing the list of applicants for their freelance job posting When reviewing the candidates Then the list clearly indicates which applicants applied organically Versus those who applied in response to a direct invitation sent by the employer",,,,,,
,,,9400,Signing Agreements for Freelancers,"As an employer, I want to create and sign contracts with freelancers directly on the platform so that agreements are centralised and easily managed.",1,13,"Given an employer has selected a freelancer for a project and navigates to the hiring workflow for that freelancer/project When they reach the contract stage Then they see an option to 'Create Contract' or 'Upload Contract'
Given an employer chooses to 'Create Contract' When they are in the contract editor Then they can select from available templates And fill in project-specific details And specify the freelancer And send the generated contract document to the freelancer for review and signature via the platform
Given both the employer and the freelancer have electronically signed the contract document using the platform's e-signature feature When either party views the project details or their contract history Then the fully executed contract document is stored securely And is accessible for download",,,,,,
,,,9500,Freelancer Payment System,"As an employer, I want a secure payment system for freelancers with multiple payment methods, escrow protection, milestone tracking, and dispute resolution mechanisms, so that financial transactions are secure, trackable, and managed through the platform.",1,20,"Given a contract with defined payment milestones exists between an employer and a freelancer on the platform When a milestone is due or work is approved Then the employer sees an option like 'Release Payment' or 'Pay Milestone' associated with that specific milestone or project phase within the platform's project management or payment interface
Given an employer initiates a payment to a freelancer through the platform When the employer confirms the amount And authorises the transaction using a linked payment method Then the funds are processed securely via the platform's integrated payment gateway And transferred to the freelancer's designated payout account
Given one or more payments have been processed for a freelance project When the employer accesses their 'Transaction History' or the specific project's financial summary Then they can view a detailed record of all payments made Including dates, amounts, recipient freelancer, and corresponding project/milestone reference",,,,,,
,,,9600,Offer Management System,"As an employer, I want to create, track, and manage job offers through the platform so that I can streamline the final hiring stage.",1,13,"Given an employer has identified a candidate to receive an offer When the employer navigates to the candidate's profile or the ""Offer Management"" section And chooses to ""Create Offer"" Then they are presented with a form to input offer details (e.g., Job Title, Salary, Start Date, Expiration Date, Benefits Summary) Potentially using pre-defined templates
Given an offer has been drafted When the employer sends the offer to the candidate via the platform Then the offer status updates to ""Sent"" And the candidate receives a notification And the employer can track if the offer has been viewed, accepted, or declined within the system
Given an employer is viewing the ""Offer Management"" dashboard When the employer filters by status (e.g., Draft, Sent, Accepted, Declined, Expired) Or searches by candidate name/job title Then the dashboard displays a list of relevant offers with key details and their current status",,,,,,
,,,9700,Employment History Analysis,"As an employer, I want to visualise the types of employment history of candidates interested in specific roles so that I can understand which backgrounds are attracted to my listings.",1,8,"Given an employer is viewing the analytics dashboard for a specific job listing that has received applications When the employer navigates to the 'Applicant Insights' or 'Candidate Demographics' section Then they see a chart or data visualisation summarising the distribution of applicants based on their previous job titles, industries, or years of experience
Given the employer is viewing the employment history visualisation When the employer hovers over or clicks on a specific segment Then a tooltip or label displays the exact number or percentage of applicants falling into that category
Given the analytics page allows filtering by application stage When the employer selects a specific stage Then the employment history visualisation dynamically updates to show the background distribution only for candidates currently in that selected stage",,,,,,
